Key_category,Key_subcategory,Key,Value,Description,Element
amenity,others,amenity,place_of_worship,"A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details.",node / area
amenity,others,amenity,public_bath,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring",node / area
amenity,others,amenity,public_building,A generic public building. Don't use! See office=government.,node / area
amenity,others,amenity,refugee_site,A human settlement sheltering refugees or internally displaced persons,node / area
amenity,others,amenity,vending_machine,"A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending=*",node
amenity,others,amenity,user defined,All commonly used values according to Taginfo,node / area
linear barriers,linear barriers,barrier,cable_barrier,A road side or median barrier made of steel wire ropes mounted on weak posts.,way
linear barriers,linear barriers,barrier,city_wall,A fortification used to defend settlements in ancient to modern times.,way
linear barriers,linear barriers,barrier,ditch,A ditch or a trench is a long and narrow man-made barrier dug in the ground to prevent access to the other side.,way
linear barriers,linear barriers,barrier,fence,"A freestanding structure designed to restrict or prevent movement across a boundary, generally distinguished from a wall by the lightness of its construction.",node / way
linear barriers,linear barriers,barrier,guard_rail,"A rail, typically metal, designed to keep vehicles within their roadway, and prevent collisions or runaways. Right side is the smooth side facing the roadway. When drawing the line in iD, the arrow side points towards the road.",way
linear barriers,linear barriers,barrier,handrail,A rail designed to be grasped by the hand so as to provide stability or support.,way
linear barriers,linear barriers,barrier,hedge,"A line of closely spaced shrubs and tree species, which form a barrier or mark the boundary of an area.",way / area
linear barriers,linear barriers,barrier,kerb,A stone edging to a pavement or raised path.,node / way
linear barriers,linear barriers,barrier,retaining_wall,"A structure that holds back soil or rock from a building, structure or area.",way
linear barriers,linear barriers,barrier,wall,"A freestanding structure, designed to restrict or prevent movement across a boundary, typically made from solid brick, concrete or rocks, and almost always built so that it is opaque to vision.",way / area
access control on highways,access control on highways,barrier,block,One or more large immobile block(s) usually barring free access along a way.,node / way
access control on highways,access control on highways,barrier,bollard,One or more solid (usually concrete or metal) pillar(s) used to control traffic.,node / way
access control on highways,access control on highways,barrier,border_control,A control point at an international border between two countries.,node / way / area
access control on highways,access control on highways,barrier,bump_gate,A drive-through gate used in rural areas to provide a barrier to livestock that does not require the driver to exit the vehicle.,node
access control on highways,access control on highways,barrier,bus_trap,A short section of the roadway where there is a deep dip in the middle to prevent passage by some traffic.,node
access control on highways,access control on highways,barrier,cattle_grid,A hole in the road surface covered in a series of bars that allow wheeled vehicles but not animals to cross.,node
access control on highways,access control on highways,barrier,chain,A chain used to prevent motorised vehicles.,node / way
access control on highways,access control on highways,barrier,cycle_barrier,A barrier along a path that slows or prevents access for bicycle users.,node
access control on highways,access control on highways,barrier,debris,Debris blocking a road,node
access control on highways,access control on highways,barrier,entrance,An opening or gap in a barrier.,node
access control on highways,access control on highways,barrier,full-height_turnstile,A full-height turnstile.,node / way
access control on highways,access control on highways,barrier,gate,A section in a wall or fence which can be opened to allow access.,node / way
access control on highways,access control on highways,barrier,hampshire_gate,A section of wire fence which can be removed temporarily.,node
access control on highways,access control on highways,barrier,height_restrictor,A height restrictor which prevents access of vehicles higher than a set limit.,node
access control on highways,access control on highways,barrier,horse_stile,A horse stile allows pedestrians and horses to cross a gap through a fence,node
access control on highways,access control on highways,barrier,jersey_barrier,A barrier made of heavy prefabricated blocks.,node / way
access control on highways,access control on highways,barrier,kissing_gate,A type of gate where you have to go into an enclosure and open a gate to get through.,node
access control on highways,access control on highways,barrier,lift_gate,A bar or pole pivoted (rotates upwards to open) in such a way as to allow the boom to block vehicular access through a controlled point.,node
access control on highways,access control on highways,barrier,log,A log blocking access.,node / way
access control on highways,access control on highways,barrier,motorcycle_barrier,A barrier along a path preventing access by motorcycles.,node
access control on highways,access control on highways,barrier,rope,A flexible barrier made of rope.,node / way
access control on highways,access control on highways,barrier,sally_port,"A secure, controlled entryway to a fortification or prison.",node
access control on highways,access control on highways,barrier,spikes,Spikes on the ground preventing unauthorized access.,node
access control on highways,access control on highways,barrier,stile,"A structure which provides people a passage through or over a boundary via steps, ladders or narrow gaps.",node
access control on highways,access control on highways,barrier,sump_buster,A barrier to stop cars (two tracked vehicles with less than a certain ground clearance and width between tracks).,node
access control on highways,access control on highways,barrier,swing_gate,A gate consisting of a bar or pole pivoted (rotates sidewards to open) in such a way as to allow the boom to block vehicular access through a controlled point.,node
access control on highways,access control on highways,barrier,toll_booth,A place where a road usage toll or fee is collected.,node / area
access control on highways,access control on highways,barrier,turnstile,"A turnstile, a passage on foot designed to allow one person at a time to pass",node
access control on highways,access control on highways,barrier,yes,"Unspecified barrier. If possible, use a more specific value.",node / way / area
boundary,boundary types,boundary,aboriginal_lands,A boundary representing official reservation boundaries of recognized aboriginal / indigenous / native peoples.,area / relation
boundary,boundary types,boundary,administrative,"An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs, as indicated by the admin_level=* combo tag.",area
boundary,boundary types,boundary,border_zone,A border zone is an area near the border where special restrictions on movement apply. Usually a permit is required for visiting.,area / relation
boundary,boundary types,boundary,census,"A census-designated boundary delineating a statistical area, not necessarily observable on the ground.",area / relation
boundary,boundary types,boundary,forest,"A delimited forest is a land which is predominantly wooded and which is, for this reason, given defined boundaries. It may cover different tree stands, non-wooded areas, highways… but all the area within the boundaries are considered and managed as a single forest.",area / relation
boundary,boundary types,boundary,forest_compartment,"A forest compartment is a numbered sub-division within a delimited forest, physically materialized with visible, typically cleared, boundaries.",area / relation
boundary,boundary types,boundary,hazard,"A designated hazardous area, with a potential source of damage to health, life, property, or any other interest of value.",area
boundary,boundary types,boundary,health,Health division boundaries. Some mappers use health_level=* instead of admin_level=* to specify level in the health system hierarchy.,area / relation
boundary,boundary types,boundary,historic,A historic administrative boundary (use judiciously).,area / relation
boundary,boundary types,boundary,limited_traffic_zone,Describes an officially designated area that requires authorization for the entry of certain vehicles.,area / relation
boundary,boundary types,boundary,local_authority,Describes the territory of a local authority.,relation
boundary,boundary types,boundary,low_emission_zone,A geographically defined area which seeks to restrict or deter access by certain polluting vehicles with the aim of improving the air quality.,area / relation
boundary,boundary types,boundary,maritime,"Maritime boundaries which are not administrative boundaries: the Baseline, Contiguous Zone and EEZ (Exclusive Economic Zone).",area
boundary,boundary types,boundary,marker,"A boundary marker, border marker, boundary stone, or border stone is a robust physical marker that identifies the start of a land boundary or the change in a boundary, especially a change in direction of a boundary. See also historic=boundary_stone",node
boundary,boundary types,boundary,national_park,"Area of outstanding natural beauty, set aside for conservation and for recreation (Other languages).",area
boundary,boundary types,boundary,place,"boundary=place is commonly used to map the boundaries of a place=*, when these boundaries can be defined but these are not administrative boundaries.",way / relation
boundary,boundary types,boundary,political,Electoral boundaries,area
boundary,boundary types,boundary,postal_code,Postal code boundaries. Some mappers use postal_code_level=* instead of admin_level=* to specify level in the postal hierarchy.,relation
boundary,boundary types,boundary,protected_area,"Protected areas, such as for national parks, marine protection areas, heritage sites, wilderness, cultural assets and similar.",area
