Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
kneipp water cure;3;amenity;others;kneipp water cure;Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.;node / area
lounger;3;amenity;others;lounger;An object for people to lie down.;node
marketplace;3;amenity;others;marketplace;A marketplace where goods and services are traded daily or weekly.;node / area
monastery;3;amenity;others;monastery;Monastery is the location of a monastery or a building in which monks and nuns live.;node / area
mortuary;3;amenity;others;mortuary;A morgue or funeral home, used for the storage of human corpses.;node / area
photo booth;3;amenity;others;photo booth;A stand to create instant photos.;node
place of mourning;3;amenity;others;place of mourning;A room or building where families and friends can come, before the funeral, and view the body of the person who has died.;node / area
place of worship;3;amenity;others;place of worship;A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details.;node / area
public bath;3;amenity;others;public bath;A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring;node / area
public building;3;amenity;others;public building;A generic public building. Don't use! See office=government.;node / area
refugee site;3;amenity;others;refugee site;A human settlement sheltering refugees or internally displaced persons;node / area
vending machine;3;amenity;others;vending machine;A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending=*;node
cable barrier;3;barrier;linear barriers;cable barrier;A road side or median barrier made of steel wire ropes mounted on weak posts.;way
city wall;3;barrier;linear barriers;city wall;A fortification used to defend settlements in ancient to modern times.;way
ditch;3;barrier;linear barriers;ditch;A ditch or a trench is a long and narrow man-made barrier dug in the ground to prevent access to the other side.;way
fence;3;barrier;linear barriers;fence;A freestanding structure designed to restrict or prevent movement across a boundary, generally distinguished from a wall by the lightness of its construction.;node / way
guard rail;3;barrier;linear barriers;guard rail;A rail, typically metal, designed to keep vehicles within their roadway, and prevent collisions or runaways. Right side is the smooth side facing the roadway. When drawing the line in iD, the arrow side points towards the road.;way
handrail;3;barrier;linear barriers;handrail;A rail designed to be grasped by the hand so as to provide stability or support.;way
hedge;3;barrier;linear barriers;hedge;A line of closely spaced shrubs and tree species, which form a barrier or mark the boundary of an area.;way / area
kerb;3;barrier;linear barriers;kerb;A stone edging to a pavement or raised path.;node / way
wall;3;barrier;linear barriers;wall;A freestanding structure, designed to restrict or prevent movement across a boundary, typically made from solid brick, concrete or rocks, and almost always built so that it is opaque to vision.;way / area
block;3;barrier;access control on highways;block;One or more large immobile block(s) usually barring free access along a way.;node / way
bollard;3;barrier;access control on highways;bollard;One or more solid (usually concrete or metal) pillar(s) used to control traffic.;node / way
border control;3;barrier;access control on highways;border control;A control point at an international border between two countries.;node / way / area
bump gate;3;barrier;access control on highways;bump gate;A drive-through gate used in rural areas to provide a barrier to livestock that does not require the driver to exit the vehicle.;node
bus trap;3;barrier;access control on highways;bus trap;A short section of the roadway where there is a deep dip in the middle to prevent passage by some traffic.;node
cattle grid;3;barrier;access control on highways;cattle grid;A hole in the road surface covered in a series of bars that allow wheeled vehicles but not animals to cross.;node
chain;3;barrier;access control on highways;chain;A chain used to prevent motorised vehicles.;node / way
cycle barrier;3;barrier;access control on highways;cycle barrier;A barrier along a path that slows or prevents access for bicycle users.;node
debris;3;barrier;access control on highways;debris;Debris blocking a road;node
entrance;3;barrier;access control on highways;entrance;An opening or gap in a barrier.;node
full-height turnstile;3;barrier;access control on highways;full-height turnstile;A full-height turnstile.;node / way
gate;3;barrier;access control on highways;gate;A section in a wall or fence which can be opened to allow access.;node / way
hampshire gate;3;barrier;access control on highways;hampshire gate;A section of wire fence which can be removed temporarily.;node
height restrictor;3;barrier;access control on highways;height restrictor;A height restrictor which prevents access of vehicles higher than a set limit.;node
horse stile;3;barrier;access control on highways;horse stile;A horse stile allows pedestrians and horses to cross a gap through a fence;node
jersey barrier;3;barrier;access control on highways;jersey barrier;A barrier made of heavy prefabricated blocks.;node / way
kissing gate;3;barrier;access control on highways;kissing gate;A type of gate where you have to go into an enclosure and open a gate to get through.;node
lift gate;3;barrier;access control on highways;lift gate;A bar or pole pivoted (rotates upwards to open) in such a way as to allow the boom to block vehicular access through a controlled point.;node
log;3;barrier;access control on highways;log;A log blocking access.;node / way
motorcycle barrier;3;barrier;access control on highways;motorcycle barrier;A barrier along a path preventing access by motorcycles.;node
rope;3;barrier;access control on highways;rope;A flexible barrier made of rope.;node / way
sally port;3;barrier;access control on highways;sally port;A secure, controlled entryway to a fortification or prison.;node
spikes;3;barrier;access control on highways;spikes;Spikes on the ground preventing unauthorized access.;node
stile;3;barrier;access control on highways;stile;A structure which provides people a passage through or over a boundary via steps, ladders or narrow gaps.;node
sump buster;3;barrier;access control on highways;sump buster;A barrier to stop cars (two tracked vehicles with less than a certain ground clearance and width between tracks).;node
swing gate;3;barrier;access control on highways;swing gate;A gate consisting of a bar or pole pivoted (rotates sidewards to open) in such a way as to allow the boom to block vehicular access through a controlled point.;node
toll booth;3;barrier;access control on highways;toll booth;A place where a road usage toll or fee is collected.;node / area
turnstile;3;barrier;access control on highways;turnstile;A turnstile, a passage on foot designed to allow one person at a time to pass;node
aboriginal lands;3;boundary;boundary types;aboriginal lands;A boundary representing official reservation boundaries of recognized aboriginal / indigenous / native peoples.;area / relation
administrative;3;boundary;boundary types;administrative;An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs, as indicated by the admin_level=* combo tag.;area
border zone;3;boundary;boundary types;border zone;A border zone is an area near the border where special restrictions on movement apply. Usually a permit is required for visiting.;area / relation
census;3;boundary;boundary types;census;A census-designated boundary delineating a statistical area, not necessarily observable on the ground.;area / relation
forest;3;boundary;boundary types;forest;A delimited forest is a land which is predominantly wooded and which is, for this reason, given defined boundaries. It may cover different tree stands, non-wooded areas, highways… but all the area within the boundaries are considered and managed as a single forest.;area / relation
forest compartment;3;boundary;boundary types;forest compartment;A forest compartment is a numbered sub-division within a delimited forest, physically materialized with visible, typically cleared, boundaries.;area / relation
hazard;3;boundary;boundary types;hazard;A designated hazardous area, with a potential source of damage to health, life, property, or any other interest of value.;area
health;3;boundary;boundary types;health;Health division boundaries. Some mappers use health_level=* instead of admin_level=* to specify level in the health system hierarchy.;area / relation
historic;3;boundary;boundary types;historic;A historic administrative boundary (use judiciously).;area / relation
limited traffic zone;3;boundary;boundary types;limited traffic zone;Describes an officially designated area that requires authorization for the entry of certain vehicles.;area / relation
local authority;3;boundary;boundary types;local authority;Describes the territory of a local authority.;relation
low emission zone;3;boundary;boundary types;low emission zone;A geographically defined area which seeks to restrict or deter access by certain polluting vehicles with the aim of improving the air quality.;area / relation
maritime;3;boundary;boundary types;maritime;Maritime boundaries which are not administrative boundaries: the Baseline, Contiguous Zone and EEZ (Exclusive Economic Zone).;area
marker;3;boundary;boundary types;marker;A boundary marker, border marker, boundary stone, or border stone is a robust physical marker that identifies the start of a land boundary or the change in a boundary, especially a change in direction of a boundary. See also historic=boundary_stone;node
national park;3;boundary;boundary types;national park;Area of outstanding natural beauty, set aside for conservation and for recreation (Other languages).;area
place;3;boundary;boundary types;place;boundary=place is commonly used to map the boundaries of a place=*, when these boundaries can be defined but these are not administrative boundaries.;way / relation
political;3;boundary;boundary types;political;Electoral boundaries;area
postal code;3;boundary;boundary types;postal code;Postal code boundaries. Some mappers use postal_code_level=* instead of admin_level=* to specify level in the postal hierarchy.;relation
protected area;3;boundary;boundary types;protected area;Protected areas, such as for national parks, marine protection areas, heritage sites, wilderness, cultural assets and similar.;area
religious administration;3;boundary;boundary types;religious administration;A religious administration boundary, eg. of a catholic diocese or parish. Use religion=* and denomination=* to specify the church to which the boundary applies. Some mappers use religious_level=* instead of admin_level=* to specify level in the church hierarchy.;relation
special economic zone;3;boundary;boundary types;special economic zone;A government-defined area in which business and trade laws are different.;area
statistical;3;boundary;boundary types;statistical;An official boundary recognised by government for statistical purposes.;area / relation
disputed;3;boundary;boundary types;disputed;An area of landed claimed by two or more parties (use with caution). See also Disputed territories.;area / relation
timezone;3;boundary;boundary types;timezone;Boundaries of time zone;relation
apartments;3;building;accommodation;apartments;A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor.;
barracks;3;building;accommodation;barracks;Buildings built to house military personnel or laborers.;
bungalow;3;building;accommodation;bungalow;A single-storey detached small house, Dacha.;
cabin;3;building;accommodation;cabin;A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas.;
