Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
coworking;2;office;coworking;;"An office where people can go to work (typically requires a fee); not limited to a single employer.";node / area
diplomatic;2;office;diplomatic;;An embassy, diplomatic mission, consulate or liaison office of a foreign government or parastatal entity in a host country.;node / area
educational institution;2;office;educational institution;;An office for an educational institution.;node / area
employment agency;2;office;employment agency;;An office for an employment service.;node / area
energy supplier;2;office;energy supplier;;An office for an energy supplier.;node / area
engineer;2;office;engineer;;An office for an engineer or group of engineers.;node / area
estate agent;2;office;estate agent;;A place where you can rent or buy a house.;node / area
event management;2;office;event management;;An office offering support for event planning and management;node / area
financial;2;office;financial;;An office of a company in the financial sector.;node / area
financial advisor;2;office;financial advisor;;A professional who offers financial planning and sells financial services to clients.;node / area
forestry;2;office;forestry;;A forestry office;node / area
foundation;2;office;foundation;;An office of a foundation;node / area
geodesist;2;office;geodesist;;An office of scientists studying Earth shape.;node / area
government;2;office;government;;An office of a (supra)national, regional or local government agency or department;node / area
graphic design;2;office;graphic design;;An office of a graphic designer.;node / area
guide;2;office;guide;;An office of tour guides, mountain guides, hiking guides, dive guides, etc.;node / area
harbour master;2;office;harbour master;;The Harbourmaster's office.;node / area
insurance;2;office;insurance;;An office at which you can take out insurance policies.;node / area
information technology;2;office;information technology;;An office for an information technology company.;node / area
lawyer;2;office;lawyer;;An office for a lawyer.;node / area
logistics;2;office;logistics;;An office for a company offering logistics.;node / area
moving company;2;office;moving company;;An office which offers a relocation service.;node / area
newspaper;2;office;newspaper;;An office of a newspaper;node / area
ngo;2;office;ngo;;An office for a non-profit, non-governmental organisation (NGO).;node / area
notary;2;office;notary;;An office for a notary public (common law);node / area
politician;2;office;politician;;A politician's office.;node / area
political party;2;office;political party;;An office of a political party;node / area
property management;2;office;property management;;Office of a property rental company for residential apartments or commercial office space or any other property.;node / area
publisher;2;office;publisher;;An office of a publisher.;node / area
quango;2;office;quango;;An office of a quasi-autonomous non-governmental organisation.;node / area
religion;2;office;religion;;An office of a community of faith.;node / area
research;2;office;research;;An office for research and development;node / area
security;2;office;security;;An office for private security guards;node / area
surveyor;2;office;surveyor;;An office of a person doing technical surveys, such as land surveys or risk and damage evaluations of properties and equipment.;node / area
tax advisor;2;office;tax advisor;;An office for a financial expert specially trained in tax law;node / area
telecommunication;2;office;telecommunication;;An office for a telecommunication company.;node / area
transport;2;office;transport;;An office of a freight forwarder or transport company.;node / area
travel agent;2;office;travel agent;;An office of a travel agent.;node / area
tutoring;2;office;tutoring;;An office of tutor or tutoring centre.;node / area
union;2;office;union;;An office of a trade union, an association of workers forming a bargaining unit.;node / area
university;2;office;university;;An office providing services to university students or staff, or the office of a department / faculty in a university.;node / area
visa;2;office;visa;;An office of an organisation or business which offers visa assistance.;node / area
water utility;2;office;water utility;;The office for a water utility company or water board.;node / area
country;3;place;administratively declared places;country;A nation state or other high-level national political/administrative area.;node
state;3;place;administratively declared places;state;A large sub-national political/administrative area.;node / area
region;3;place;administratively declared places;region;Used both as a broad tag for geographic or historical areas with no clear boundary and for distinct administration areas (with specific boundaries) in some countries.;node / area / relation
province;3;place;administratively declared places;province;A subdivision of a country similar to a state.;node
district;3;place;administratively declared places;district;A district – a type of administrative division that, in some countries, is managed by local government.;node
county;3;place;administratively declared places;county;A county - a geographical region of a country.;node
subdistrict;3;place;administratively declared places;subdistrict;A subdistrict - a subdivision of a district used for administrative or other purposes.;node
municipality;3;place;administratively declared places;municipality;A municipality - single urban administrative division having corporate status.;node / relation
city;3;place;populated settlements, urban;city;The largest urban settlement or settlements within the territory.;node / area / relation
borough;3;place;populated settlements, urban;borough;A part in a larger city grouped into administrative unit.;node / area / relation
suburb;3;place;populated settlements, urban;suburb;A part of a town or city with a well-known name and often a distinct identity.;node / area / relation
quarter;3;place;populated settlements, urban;quarter;A quarter is a named, geographically localised place within a suburb of a larger city or within a town, which is bigger than a neighbourhood.;node / area / relation
neighbourhood;3;place;populated settlements, urban;neighbourhood;A neighbourhood is a smaller named, geographically localised place within a suburb of a larger city or within a town or village;node / area / relation
city block;3;place;populated settlements, urban;city block;A named city block, usually surrounded by streets.;node / area
plot;3;place;populated settlements, urban;plot;A named plot is a tract or parcel of land owned or meant to be owned by some owner.;node / area / relation
city;3;place;populated settlements, urban and rural;city;The largest urban settlement or settlements within the territory.;node / area / relation
town;3;place;populated settlements, urban and rural;town;An important urban centre, between a village and a city in size.;node / area / relation
village;3;place;populated settlements, urban and rural;village;A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these.;node / area / relation
hamlet;3;place;populated settlements, urban and rural;hamlet;A smaller rural community, typically with fewer than 100-200 inhabitants, and little infrastructure.;node / area
isolated dwelling;3;place;populated settlements, urban and rural;isolated dwelling;The smallest kind of settlement (1-2 households).;node / area / relation
farm;3;place;populated settlements, urban and rural;farm;An individually named farm.;node / area
allotments;3;place;populated settlements, urban and rural;allotments;A separate settlement, which is located outside an officially inhabited locality and has its own addressing;node / area
continent;3;place;other places;continent;One of the seven continents: Africa, Antarctica, Asia, Europe, North America, Oceania, South America.;node
archipelago;3;place;other places;archipelago;A named group or chain of closely related islands and islets.;relation
island;3;place;other places;island;Any piece of land that is completely surrounded by water and isolated from other significant landmasses.;node / area
islet;3;place;other places;islet;A very small island.;node / area
square;3;place;other places;square;A town or village square: a (typically) paved open space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village.;node / area
locality;3;place;other places;locality;A named place that has no population.;node / area / relation
polder;3;place;other places;polder;A land area that forms an artificial hydrological entity enclosed by embankments and usually is under sea level.;node / area
sea;3;place;other places;sea;A large body of salt water part of, or connected to, an ocean.;node / area
ocean;3;place;other places;ocean;The world's five main major oceanic divisions.;node
cable;2;power;cable;;An insulated cable carrying electrical power, such as transmission or distribution cables located underground and undersea cables;way
catenary mast;2;power;catenary mast;;A pole supporting the overhead wires used to supply electricity to vehicles equipped with a pantograph such as trams and trains.;node
compensator;2;power;compensator;;A static power device used to ensure power quality and electrical network resilience.;node / area
connection;2;power;connection;;A free-standing electrical connection between two or more overhead wires.;node
converter;2;power;converter;;A device to convert power between alternating and direct current electrical power: often, but not only, over high voltage networks;node / area
generator;2;power;generator;;A device which converts one form of energy to another, for example, an electrical generator.;node / way / area
heliostat;2;power;heliostat;;A mirror of a heliostat device;node
insulator;2;power;insulator;;An electrical insulator which connects a power line to a support structure and prevents grounding.;node / way
inverter;2;power;inverter;;A device to convert power from direct current to alternating current.;node / area
line;2;power;line;;High-voltage power lines used for power transmission, usually supported by towers or pylons;way
bay;3;power;line;bay;A power line within a substation which connects a circuit to a busbar.;way
minor line;2;power;minor line;;Minor power lines forming the distribution grid, usually carried by poles.;way
plant;2;power;plant;;An industrial facility where power (electricity, useful heat, biogas) is produced by individual power generator units.;area / relation
pole;2;power;pole;;A single pole supporting power lines, often a wood, steel, or concrete mast designed to carry minor power lines.;node
portal;2;power;portal;;A supporting structure for power lines, composed of vertical legs with cables between them attached to a horizontal crossarm.;node / way
substation;2;power;substation;;A facility which controls the flow of electricity in a power network with transformers, switchgear or compensators.;node / area
switch;2;power;switch;;A device which allows electrical network operators to power up & down lines and transformers in substations or along the power grid.;node
switchgear;2;power;switchgear;;A switchgear, which comprises one or more busbar assemblies and a number of bays each connecting a circuit to the busbar assembly.;area
terminal;2;power;terminal;;"A point of connection where an overhead power line ends on a building or wall; for example, when connecting it to an indoor substation.";node
tower;2;power;tower;;A tower or pylon carrying high voltage electricity cables. Often constructed from steel latticework but tubular or solid pylons are also used.;node
transformer;2;power;transformer;;A device for stepping up or down electric voltage. Large power transformers are typically located inside substations;node
stop position;3;public transport;public transport;stop position;The position on the street or rails where a public transport vehicle stops.;node
platform;3;public transport;public transport;platform;The place where passengers are waiting for the public transport vehicles.;node / way / area
station;3;public transport;public transport;station;A station is an area designed to access public transport.;node / area
stop area;3;public transport;public transport;stop area;A relation that contains all elements of a train, subway, monorail, tram, bus, trolleybus, aerialway, or ferry stop.;relation
stop area group;3;public transport;public transport;stop area group;;
abandoned;3;railway;tracks;abandoned;The course of a former railway which has been abandoned and the track removed. The course is still recognized through embankments, cuttings, tree rows, bridges, tunnels, remaining track ties, building shapes and rolling or straight ways. For demolished rails that are no longer identifiable, e.g. that have been built over, some use the highly questionable railway=razed.;way
construction;3;railway;tracks;construction;Railway under construction.;way
proposed;3;railway;tracks;proposed;Railway being proposed but haven't started construction. Please see the proposed page regarding verifiability on the ground of this value.;way
disused;3;railway;tracks;disused;A section of railway which is no longer used but where the track and infrastructure remains in place. The track is likely overgrown with endemic vegetation, but could be brought back into useful service with only minor effort.;way
funicular;3;railway;tracks;funicular;Cable driven inclined railways on a steep slope, with a pair of cars connected by one cable;way
light rail;3;railway;tracks;light rail;A higher-standard tram system, normally in its own right-of-way. Often it connects towns and thus reaches a considerable length (tens of kilometres).;way
miniature;3;railway;tracks;miniature;"Miniature railways are narrower than narrow gauge and carry passengers, frequently at an exact scale of ""standard-sized"" rail (for example ""1/4 scale""). They can often be found in parks.";way
monorail;3;railway;tracks;monorail;A railway with only a single rail. A monorail can run above the rail like in Las Vegas and Disneyland or can suspend below the rail like the Wuppertal Schwebebahn (Germany).;way
narrow gauge;3;railway;tracks;narrow gauge;Narrow-gauge passenger or freight train tracks. Narrow gauge railways can have mainline railway service like the Rhaetian Railway in Switzerland or can be a small light industrial railway. Use gauge=* to specify the actual width of rails in mm.;way
preserved;3;railway;tracks;preserved;This is the old tag for historic trains. Use railway:preserved=yes for historical railway instead.;way
rail;3;railway;tracks;rail;Full sized passenger or freight train tracks in the standard gauge for the country or state.;way
subway;3;railway;tracks;subway;A city passenger rail service running mostly grade separated (see Wikipedia:rapid transit). Often a significant portion of the line or its system/network is underground.;way
tram;3;railway;tracks;tram;"One or two carriage rail vehicle tracks, usually sharing motor road, sometimes called ""street running"" (Other languages).";way
halt;3;railway;stations and stops;halt;A small station without switches;node
platform;3;railway;stations and stops;platform;This is parallel to the rail line for showing where the actual platforms are. It is also to know where you can change platform and enter the station, so use footpaths to connect them. This is really useful for routing too. Use in addition to public_transport=platform.;way / area
station;3;railway;stations and stops;station;Railway passenger and/or cargo station. Use in addition to public_transport=station.;node / area
stop;3;railway;stations and stops;stop;Marks the position where trains stop at a station. It should be added as a node on a railway=rail way.;node
subway entrance;3;railway;stations and stops;subway entrance;The entrance to a subway station, usually going from surface to underground.;node
tram stop;3;railway;stations and stops;tram stop;A tram stop is a place where a passenger can embark / disembark a tram.;node
buffer stop;3;railway;infrastructure;buffer stop;Stops the train at the end of a track. See buffer stop.;node
crossing;3;railway;infrastructure;crossing;A point where pedestrians may cross.;node
derail;3;railway;infrastructure;derail;A device used to prevent fouling of a rail track by unauthorized movements of trains or unattended rolling stock. See Derail (railroad).;node
level crossing;3;railway;infrastructure;level crossing;A point where rails and roads cross.;node
railway crossing;3;railway;infrastructure;railway crossing;Crossing rails with no interconnection.;node
roundhouse;3;railway;infrastructure;roundhouse;A semicircular building with many stalls for servicing engines.;area
signal;3;railway;infrastructure;signal;Any kind of railway signal.;node
switch;3;railway;infrastructure;switch;Full connections between railways (aka 'points').;node
tram level crossing;3;railway;infrastructure;tram level crossing;A point where trams and roads cross.;node
traverser;3;railway;infrastructure;traverser;These are used for changing trains between railways. Also known as transfer table.;node / area
turntable;3;railway;infrastructure;turntable;These are used for changing the direction that part of a train is pointing in.;node / area
ventilation shaft;3;railway;infrastructure;ventilation shaft;A structure that allows ventilation in underground tunnels;node / way
wash;3;railway;infrastructure;wash;A railroad carriage/car wash;node / area
water crane;3;railway;infrastructure;water crane;A structure to deliver water to steam locomotives;node
bicycle;2;route;bicycle;;Cycle routes or bicycles route are named, numbered or otherwise signed. May go along roads, trails or dedicated cycle paths;relation
bus;2;route;bus;;The route a public bus service takes. See Buses.;relation
canoe;2;route;canoe;;Signed route for canoeing through a waterway.;relation
detour;2;route;detour;;Route for fixed detour routes. Examples are Bedarfsumleitung in Germany and uitwijkroute in the Netherlands;relation
ferry;2;route;ferry;;The route a ferry takes from terminal to terminal Please make sure to add at least one node per tile (zoom level 12), better at least one every few km, so offline editors catch it with bbox requests.;way / relation
foot;2;route;foot;;Walking Route - is used for routes which are walkable without any limitations regarding fitness, equipment or weather conditions.;relation
hiking;2;route;hiking;;Hiking explains how to tag hiking routes.;relation
horse;2;route;horse;;Riding routes;relation
inline skates;2;route;inline skates;;Inline has more information on the subject.;relation
light rail;2;route;light rail;;Route of a light rail line.;relation
mtb;2;route;mtb;;Mountain biking explains how to tag mtb routes.;relation
piste;2;route;piste;;Route of a piste (e.g., snowshoe or XC-Ski trails) in a winter sport area.;way / relation
railway;2;route;railway;;A sequence of railway ways, often named (e.g., Channel Tunnel). See Railways.;relation
road;2;route;road;;Can be used to map various road routes/long roads.;relation
running;2;route;running;;For running (jogging) routes.;relation
ski;2;route;ski;;For ski tracks (e.g., XC-Ski Trails User:Langläufer/Loipemap).;relation
subway;2;route;subway;;Route of a metro service;relation
train;2;route;train;;Train services (e.g., London-Paris Eurostar) See Railways.;relation
tracks;2;route;tracks;;Railroad track as rail infrastructure.;relation
tram;2;route;tram;;See Trams for more information on tagging tram services.;relation
trolleybus;2;route;trolleybus;;The route of a trolleybus service.;relation
alcohol;3;shop;food, beverages;alcohol;Shop selling alcohol to take away;
bakery;3;shop;food, beverages;bakery;Shop focused on selling bread;
beverages;3;shop;food, beverages;beverages;Shop focused on selling alcoholic and non-alcoholic beverages. See also shop=alcohol.;
brewing supplies;3;shop;food, beverages;brewing supplies;Shop focused on selling supplies for home brewing of beer, wine and spirits (where permitted).;
butcher;3;shop;food, beverages;butcher;Shop focused on selling meat;
cheese;3;shop;food, beverages;cheese;Shop focused on selling cheese.;
chocolate;3;shop;food, beverages;chocolate;Shop focused on selling chocolate.;
coffee;3;shop;food, beverages;coffee;Shop focused on selling coffee.;
confectionery;3;shop;food, beverages;confectionery;Shop focused on selling sweets or candy;
convenience;3;shop;food, beverages;convenience;A small local shop carrying a small subset of the items you would find in a supermarket;
dairy;3;shop;food, beverages;dairy;Shop focused on selling dairy products.;
deli;3;shop;food, beverages;deli;Shop focused on selling delicatessen (fine foods, gourmet foods), possibly also fine wine. Not to be confused with the US delis.;
farm;3;shop;food, beverages;farm;Shop or roadside stand focused on selling freshly harvested farm produce;
food;3;shop;food, beverages;food;"Shop focused on selling food, more specific value should be used if possible.
shop=food + food=prepared_meals was also proposed/used for type of shop selling prepared meals, not ready for eating immediately (and requiring for example heating/boiling or other simple preparation).";
frozen food;3;shop;food, beverages;frozen food;Shop focused on selling frozen food.;
greengrocer;3;shop;food, beverages;greengrocer;Shop focused on selling vegetables and fruits.;
health food;3;shop;food, beverages;health food;"A health food shop; selling wholefoods, vitamins, nutrition supplements and meat and dairy alternatives.";
ice cream;3;shop;food, beverages;ice cream;Shop selling ice cream. See also amenity=ice_cream.;
nuts;3;shop;food, beverages;nuts;Shop selling dried nuts/fruits, edible seeds, etc. Not to be confused with shop=spices.;
pasta;3;shop;food, beverages;pasta;Shop focused on selling (fresh) pasta, ravioli, etc.;
pastry;3;shop;food, beverages;pastry;Shop focused on selling baked sweets like cakes, biscuits, strudel and pies.;
seafood;3;shop;food, beverages;seafood;Shop focused on selling fish/seafood.;
spices;3;shop;food, beverages;spices;Shop focused on selling spices.;
tea;3;shop;food, beverages;tea;Shop focused on selling tea.;
tortilla;3;shop;food, beverages;tortilla;Shop focused on selling tortillas.;
water;3;shop;food, beverages;water;Shop focused on selling drinking water.;
wine;3;shop;food, beverages;wine;Shop selling wine.;
department store;3;shop;general store, department store, mall;department store;A single large store – often multiple storeys high – selling a large variety of goods (see also shop=mall);
general;3;shop;general store, department store, mall;general;A store that carries a general line of merchandise. (see also shop=convenience if it sells food).;
kiosk;3;shop;general store, department store, mall;kiosk;A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.;
mall;3;shop;general store, department store, mall;mall;A shopping mall – multiple stores under one roof (also known as a shopping centre);
supermarket;3;shop;general store, department store, mall;supermarket;Supermarket – a large store with groceries and other items;
wholesale;3;shop;general store, department store, mall;wholesale;Wholesale/warehouse club or cash and carry – a store that sells items in bulk to retailers. The branch of industry can be defined with wholesale=*.;
baby goods;3;shop;clothing, shoes, accessories;baby goods;Shop focused on selling objects for babies (clothes, prams, cots, toys).;
bag;3;shop;clothing, shoes, accessories;bag;Shop focused on selling bags.;
boutique;3;shop;clothing, shoes, accessories;boutique;A small shopping outlet, especially one that specializes in elite and fashionable items;
clothes;3;shop;clothing, shoes, accessories;clothes;Shop focused on selling clothes and/or underwear (other related value in use is fashion);
fabric;3;shop;clothing, shoes, accessories;fabric;Shop focused on selling fabric and other materials for the purpose of making clothes and other products, eg dress making.;
fashion accessories;3;shop;clothing, shoes, accessories;fashion accessories;Shop focused on selling fashion accessories.;
jewelry;3;shop;clothing, shoes, accessories;jewelry;Jewellers shops.;
leather;3;shop;clothing, shoes, accessories;leather;Shop focused on selling products made out of leather.;
sewing;3;shop;clothing, shoes, accessories;sewing;A shop that sells sewing supplies (fabric, thread, yarn, knitting needles, sewing machines, etc.);
shoes;3;shop;clothing, shoes, accessories;shoes;Shop focused on selling shoes.;
shoe repair;3;shop;clothing, shoes, accessories;shoe repair;Shop focused on repairing shoes.;
tailor;3;shop;clothing, shoes, accessories;tailor;A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing;
watches;3;shop;clothing, shoes, accessories;watches;Shop focused on selling watches.;
wool;3;shop;clothing, shoes, accessories;wool;Shop selling wool for making of clothes or other products.;
charity;3;shop;discount store, charity;charity;A charity shop is a shop operated by a charity, for the purposes of fundraising.;
second hand;3;shop;discount store, charity;second hand;A shop buying and selling used clothes and other things. See also shop=pawnbroker;
variety store;3;shop;discount store, charity;variety store;A variety store retailer is a retail store that sells inexpensive items, sometimes with a single price point for all items in the store.;
beauty;3;shop;health and beauty;beauty;A non-hairdresser beauty shop, spa, nail salon, etc.. See also shop=hairdresser.;
chemist;3;shop;health and beauty;chemist;Shop focused on selling articles of personal hygiene, cosmetics, and household cleaning products (for a shop that potentially dispenses prescription drugs, cf. pharmacy. U.S. drug store, see amenity=pharmacy);
cosmetics;3;shop;health and beauty;cosmetics;Shop focused on selling cosmetics;
erotic;3;shop;health and beauty;erotic;Shop focused on selling erotic toys, -clothes or other erotic stuff.;
hairdresser;3;shop;health and beauty;hairdresser;Here you can get your hair cut, coloured, … See also shop=beauty;
hairdresser supply;3;shop;health and beauty;hairdresser supply;A shop, where you can buy hairdressing supplies.;
hearing aids;3;shop;health and beauty;hearing aids;Shop focused on selling hearing aids devices;
herbalist;3;shop;health and beauty;herbalist;Shop focused on selling herbs, often for medical purposes. (See also: healthcare:speciality=herbalism and healthcare=alternative).;
massage;3;shop;health and beauty;massage;A massage shop;
medical supply;3;shop;health and beauty;medical supply;Shop focused on selling medical supplies.;
nutrition supplements;3;shop;health and beauty;nutrition supplements;Shops that sells one or more nutritional supplements (of vitamins, minerals and/or herbs);
optician;3;shop;health and beauty;optician;Shop focused on selling eyeglasses, contact lenses (may also check your eyes).;
perfumery;3;shop;health and beauty;perfumery;Shop focused on selling perfumery;
tattoo;3;shop;health and beauty;tattoo;A tattoo parlour.;
agrarian;3;shop;do-it-yourself, household, building materials, gardening;agrarian;Shop focused on selling agrarian products, like seeds, agricultural machinery, animal feed, etc.;
appliance;3;shop;do-it-yourself, household, building materials, gardening;appliance;Shop focused on selling large electrical items (aka white goods) washing machines, fridges, cookers, ovens, fans, etc.;
bathroom furnishing;3;shop;do-it-yourself, household, building materials, gardening;bathroom furnishing;Shop focused on selling bathroom furniture and accessories;
country store;3;shop;do-it-yourself, household, building materials, gardening;country store;Shop focused on selling rural supplies – a range of goods specifically aimed at country dwellers;
doityourself;3;shop;do-it-yourself, household, building materials, gardening;doityourself;Shop focused on selling tools and supplies to do-it-yourself householders, gardening, …;
electrical;3;shop;do-it-yourself, household, building materials, gardening;electrical;Shop focused on selling electrical supplies and devices;
energy;3;shop;do-it-yourself, household, building materials, gardening;energy;Shop focused on selling energy;
fireplace;3;shop;do-it-yourself, household, building materials, gardening;fireplace;Shop focused on selling electric fireplaces, stoves or masonry heaters and required fuels;
florist;3;shop;do-it-yourself, household, building materials, gardening;florist;Shop focused on selling bouquets of flowers (see shop=garden_centre for potted flowers).;
garden centre;3;shop;do-it-yourself, household, building materials, gardening;garden centre;Shop focused on selling potted flowers, maybe even trees (see also shop=florist for flower bouquets).;
garden furniture;3;shop;do-it-yourself, household, building materials, gardening;garden furniture;Shop focused on selling garden furniture (sheds, outdoor tables, gates, fences, ...). See shop=garden_centre if also plants are sold.;
gas;3;shop;do-it-yourself, household, building materials, gardening;gas;Shop focused on selling technical gas, such as argon, oxygen, acetylene, nitrogen, carbon dioxide, etc. in pressurized containers;
glaziery;3;shop;do-it-yourself, household, building materials, gardening;glaziery;Shop focused on selling and installing glazing for windows and doors.;
groundskeeping;3;shop;do-it-yourself, household, building materials, gardening;groundskeeping;Shop focused on selling outdoor groundskeeping equipment (lawnmowers, chainsaws, small tractors, ...;
hardware;3;shop;do-it-yourself, household, building materials, gardening;hardware;Shop focused on selling building supplies including screws, bolts & paints, … See also shop=doityourself;
houseware;3;shop;do-it-yourself, household, building materials, gardening;houseware;Shop focused on selling crockery, cutlery, kitchenware, small household appliances.;
locksmith;3;shop;do-it-yourself, household, building materials, gardening;locksmith;Shop focused on selling keys, see also craft=locksmith and craft=key_cutter;
paint;3;shop;do-it-yourself, household, building materials, gardening;paint;Shop focused on selling paints.;
pottery;3;shop;do-it-yourself, household, building materials, gardening;pottery;Shop focused on selling earthenware, stoneware and porcelain and other ceramic ware.;
security;3;shop;do-it-yourself, household, building materials, gardening;security;Shop focused on selling security items like burglar alarms, vaults, locking systems, video surveillance cameras, firefighting equipment, alarm systems, warning systems, etc.;
tool hire;3;shop;do-it-yourself, household, building materials, gardening;tool hire;Shop hiring out tools;
trade;3;shop;do-it-yourself, household, building materials, gardening;trade;A place of business that sells to a particular trade or trades, but normally also retails to normal consumers. See also shop=doityourself;
antiques;3;shop;furniture and interior;antiques;Shop focused on selling antiques.;
bed;3;shop;furniture and interior;bed;Shop focused on selling beds, mattresses and other bedding products.;
candles;3;shop;furniture and interior;candles;Shop focused on selling candles and candle accessories (holders, etc);
carpet;3;shop;furniture and interior;carpet;Shop focused on selling carpets;
curtain;3;shop;furniture and interior;curtain;Shop focused on selling curtains or drapes (see also shop=fabric);
doors;3;shop;furniture and interior;doors;Shop focused on selling doors;
flooring;3;shop;furniture and interior;flooring;Shop focused on selling floorings;
furniture;3;shop;furniture and interior;furniture;Shop focused on selling furniture, might range from small decorational items to a whole flat interior;
household linen;3;shop;furniture and interior;household linen;Shop focused on selling household linen.;
interior decoration;3;shop;furniture and interior;interior decoration;Shop focused on selling interior decorations.;
kitchen;3;shop;furniture and interior;kitchen;"A shop where you can plan and buy your kitchen. (Sometimes called ""kitchen studio"" and the like, but plain kitchen is the most frequently used tag so far.)";
lighting;3;shop;furniture and interior;lighting;A shop selling lighting fixtures and lamps.;
tiles;3;shop;furniture and interior;tiles;Shop focused on selling tiles.;
window blind;3;shop;furniture and interior;window blind;Shop focused on selling window blinds.;
computer;3;shop;electronics;computer;Shop focused on selling computers, peripherals, software, …;
electronics;2;shop;electronics;;Shop focused on selling consumer electronics (TV, radio, …). Larger ones may also sell computers, fridges, …;
hifi;3;shop;electronics;hifi;Shop focused on selling High Fidelity or High End environment to listen music or watch films at home;
mobile phone;3;shop;electronics;mobile phone;Shop focused on selling mobile phones and accessories;
printer ink;3;shop;electronics;printer ink;A shop that sells or refills printer ink cartridges.;
radiotechnics;3;shop;electronics;radiotechnics;Shop focused on selling electronic components, electrical products, radio measuring devices, supplies for radio and electronics.;
telecommunication;3;shop;electronics;telecommunication;Shop selling internet, television or similar services, and related hardware.;
vacuum cleaner;3;shop;electronics;vacuum cleaner;Shop focused on selling vacuum cleaners and associated products.;
atv;3;shop;outdoors and sport, vehicles;atv;Shop focused on selling atvs (quads), atv equipment and may rent or repair them;
bicycle;3;shop;outdoors and sport, vehicles;bicycle;Shop focused on selling bicycles, bicycle equipment and may rent or repair them;
boat;3;shop;outdoors and sport, vehicles;boat;Shop focused on selling boats, boat equipment and may rent or repair them;
car;3;shop;outdoors and sport, vehicles;car;Car store – a place primarily to buy cars or to additionally get your car repaired;
car parts;3;shop;outdoors and sport, vehicles;car parts;Shop focused on selling auto parts, auto accessories, motor oil, car chemicals, etc.;
car repair;3;shop;outdoors and sport, vehicles;car repair;Shop focused on repairing cars.;
caravan;3;shop;outdoors and sport, vehicles;caravan;A shop for caravans, motorhomes & similar recreational vehicles.;
fishing;3;shop;outdoors and sport, vehicles;fishing;Shop focused on selling fishing equipment.;
fuel;3;shop;outdoors and sport, vehicles;fuel;Shop selling fuels (motor fuel, wood, coal, gas) that can't be considered a amenity=fuel (fuel station). Use fuel:*=yes/no to indicate which fuels are available.;
golf;3;shop;outdoors and sport, vehicles;golf;Shop focused on selling golf equipment.;
hunting;3;shop;outdoors and sport, vehicles;hunting;Shop focused on selling gun and hunting equipment.;
military surplus;3;shop;outdoors and sport, vehicles;military surplus;Shop selling used military equipment;
motorcycle;3;shop;outdoors and sport, vehicles;motorcycle;Shop focused on selling motorcycles and/or related accessories, clothes, parts, and rental services.;
motorcycle repair;3;shop;outdoors and sport, vehicles;motorcycle repair;Shop focused on motorcycle repair.;
outdoor;3;shop;outdoors and sport, vehicles;outdoor;Shop focused on selling camping, walking, climbing, and other outdoor sports equipment (GPSes, etc.);
scooter;3;shop;outdoors and sport, vehicles;scooter;Shop focused on selling scooters (small 2 wheeled, low platformed motorcycles).;
scuba diving;3;shop;outdoors and sport, vehicles;scuba diving;Shop focused on selling scuba diving equipment.;
ski;3;shop;outdoors and sport, vehicles;ski;Shop focused on selling skis, ski equipment and may rent or repair them;
snowmobile;3;shop;outdoors and sport, vehicles;snowmobile;Shop focused on selling snowmobiles, snowmobile equipment and may rent or repair them;
sports;3;shop;outdoors and sport, vehicles;sports;Shop focused on selling sporting goods.;
surf;3;shop;outdoors and sport, vehicles;surf;Shop selling surfboards, sailboards, wakeboards, and other types of surf style boards. and/or related accessories, clothes, parts, repair and rental services.;
swimming pool;3;shop;outdoors and sport, vehicles;swimming pool;A store that sells swimming pool equipment and supplies.;
trailer;3;shop;outdoors and sport, vehicles;trailer;Shop focused on selling trailers and parts and/or repairing / renting them;
truck;3;shop;outdoors and sport, vehicles;truck;Shop focused on selling trucks and other commercial vehicles;
tyres;3;shop;outdoors and sport, vehicles;tyres;Shop focused on selling tyres.;
art;3;shop;art, music, hobbies;art;Shop which sells works of art. May be paintings, sculpture, or other types of art;
camera;3;shop;art, music, hobbies;camera;A shop mainly selling cameras and lenses;
collector;3;shop;art, music, hobbies;collector;A shop for different collector's items like stamps, coins, action figures, etc.;
craft;3;shop;art, music, hobbies;craft;An arts and crafts supply store. Commonly sold items are paper, canvas, paint, pencils, crafting wood, crafting tools, etc. – look at craft=*;
frame;3;shop;art, music, hobbies;frame;Shop focused on selling frames.;
games;3;shop;art, music, hobbies;games;Shop focused on selling board games, card games and/or role-playing games.;
model;3;shop;art, music, hobbies;model;Shop specialising in the sale of scale models.;
music;3;shop;art, music, hobbies;music;Shop focused on selling recorded music (vinyl/CDs/...);
musical instrument;3;shop;art, music, hobbies;musical instrument;Shop focused on selling musical instruments, lyrics, scores. If focused on a specific instrument, specify with musical_instrument=*;
photo;3;shop;art, music, hobbies;photo;Shop focused on selling products or services related with photography.;
trophy;3;shop;art, music, hobbies;trophy;Store selling trophies, awards, plaques etc.;
video;3;shop;art, music, hobbies;video;Shop focused on selling or renting out videos/DVDs.;
video games;3;shop;art, music, hobbies;video games;Shop focused on selling video games.;
